time,logged_at,symbol,signal,change_pct,status,price,qty,pnl,cash_balance,realized_pnl,total_equity,source,orderid,tradingsymbol,transactiontype,quantity,averageprice,orderstatus,filledshares,updatetime
2026-08-14 15:15:00,2026-08-14 15:16:29,ADANIPOWER,OPEN_SHORT,0.0,filled,205.28,216.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,BAJFINANCE,OPEN_SHORT,0.0,filled,1086.0,22.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,AXISBANK,OPEN_SHORT,0.0,filled,1216.0,28.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,ADANIENT,OPEN_SHORT,0.0,filled,3040.0,17.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,EICHERMOT,OPEN_SHORT,0.0,filled,8100.0,1.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,COALINDIA,OPEN_SHORT,0.0,filled,406.1,60.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,HINDALCO,OPEN_SHORT,0.0,filled,1036.0,11.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,ADANIENT,SELL,-0.2926,pending,3040.0,17.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,ADANIPOWER,SELL,-0.5589,pending,205.28,216.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,AXISBANK,SELL,-0.102,pending,1216.0,28.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,BAJFINANCE,SELL,-0.193,pending,1086.0,22.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,COALINDIA,SELL,-0.3657,pending,406.1,60.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,EICHERMOT,SELL,-0.3906,pending,8100.0,1.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:15:00,2026-08-14 15:16:29,HINDALCO,SELL,-0.1261,pending,1036.0,11.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:20:00,2026-08-14 15:21:12,ADANIPOWER,SELL,-0.0146,hold,205.28,216.0,0.0,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:20:00,2026-08-14 15:21:12,AXISBANK,BUY,0.4432,pending,1216.0,28.0,-39.2,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:20:00,2026-08-14 15:21:12,BAJFINANCE,SELL,-0.4561,pending,1086.0,44.0,26.4,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:20:00,2026-08-14 15:21:12,EICHERMOT,BUY,0.0599,pending,8100.0,1.0,-27.5,108153.71,0.0,108153.71,internal,,,,,,,,
2026-08-14 15:20:00,2026-08-14 15:21:12,HINDALCO,BUY,0.1466,pending,1036.0,11.0,8.8,108153.71,0.0,108153.71,internal,,,,,,,,
,,,,,,,,,,,,angel,PAPER-00000001,ADANIENT,SELL,17.0,3040.0,complete,17.0,2026-08-14 09:46:28
,,,,,,,,,,,,angel,PAPER-00000002,ADANIPOWER,SELL,216.0,205.28,complete,216.0,2026-08-14 09:46:28
,,,,,,,,,,,,angel,PAPER-00000003,BAJFINANCE,SELL,22.0,1086.0,complete,22.0,2026-08-14 09:46:28
,,,,,,,,,,,,angel,PAPER-00000004,COALINDIA,SELL,60.0,406.1,complete,60.0,2026-08-14 09:46:28
,,,,,,,,,,,,angel,PAPER-00000005,AXISBANK,SELL,28.0,1216.0,complete,28.0,2026-08-14 09:46:28
,,,,,,,,,,,,angel,PAPER-00000006,EICHERMOT,SELL,1.0,8100.0,complete,1.0,2026-08-14 09:46:28
,,,,,,,,,,,,angel,PAPER-00000007,HINDALCO,SELL,11.0,1036.0,complete,11.0,2026-08-14 09:46:28
,,,,,,,,,,,,angel,PAPER-00000008,COALINDIA,BUY,60.0,412.275,complete,60.0,2026-08-14 09:50:00
,,,,,,,,,,,,angel,PAPER-00000009,ADANIENT,BUY,17.0,3085.1,complete,17.0,2026-08-14 09:50:00
,,,,,,,,,,,,angel,PAPER-00000010,BAJFINANCE,SELL,22.0,1087.2,complete,22.0,2026-08-14 09:51:12
,,,,,,,,,,,,angel,PAPER-00000011,EICHERMOT,BUY,2.0,8127.5,complete,2.0,2026-08-14 09:51:12
,,,,,,,,,,,,angel,PAPER-00000012,HINDALCO,BUY,22.0,1035.2,complete,22.0,2026-08-14 09:51:12
,,,,,,,,,,,,angel,PAPER-00000013,AXISBANK,BUY,56.0,1217.4,complete,56.0,2026-08-14 09:51:12
